year,date,port,dist,ore_price,growth,HSFO,points,VIX,logd,logf,avefreight,aveqty,BDI
2013,201312,DAMPIER,3582,109.73,0.005,595,17,13.72,8.183676583,6.388561406,13.36705882,210000,2277
2014,201401,DAMPIER,3582,110.38838,0.006,590,13,18.41,8.183676583,6.380122537,7.676923077,271538.4615,1110
2014,201402,DAMPIER,3582,111.05234,0.006,587,11,14,8.183676583,6.37502482,8.2025,260833.3333,1258
2014,201403,DAMPIER,3582,112.04945,0.009,597,22,13.88,8.183676583,6.391917113,10.41045455,208636.3636,1362
2014,201404,DAMPIER,3582,112.7223,0.006,584,14,13.41,8.183676583,6.369900983,8.639285714,290000,943
2014,201405,DAMPIER,3582,113.39632,0.006,575,17,11.4,8.183676583,6.354370041,7.700588235,290000,934
2014,201406,DAMPIER,3582,92.74,0.006,583,20,11.57,8.183676583,6.368187186,7.924,195000,850
2014,201407,DAMPIER,3582,96.05,0.008,573,13,16.950001,8.183676583,6.350885717,7.696923077,248461.5385,755
2014,201408,DAMPIER,3582,92.61,0.001,569,10,12.09,8.726481196,6.343880434,8.256363636,278181.8182,1147
2014,201409,DAMPIER,3582,82.38,0.009,560,23,16.309999,8.183676583,6.327936784,8.494347826,191739.1304,1063
2014,201410,DAMPIER,3582,81.06,0.004,545,15,14.03,8.183676583,6.300785795,8.076,248666.6667,1428
2014,201411,DAMPIER,3582,73.73,0.004,460,17,13.33,8.183676583,6.131226489,9.005294118,269411.7647,1153
2014,201412,DAMPIER,3582,68.39,0.007,383,11,19.200001,8.183676583,5.948034989,5.920909091,278181.8182,782
2015,201501,DAMPIER,3582,68.23,0.005,331,9,20.969999,8.183676583,5.802118375,4.662222222,321111.1111,608
2015,201502,DAMPIER,3582,62.75,0.004,382,12,13.34,8.183676583,5.945420609,4.3525,184166.6667,540
2015,201503,DAMPIER,3582,58.05,0.003,359,14,15.29,8.183676583,5.883322388,4.525714286,267142.8571,602
2015,201504,DAMPIER,3582,52.28,0.006,400,20,14.55,8.183676583,5.991464547,4.429,203500,591
2015,201505,DAMPIER,3582,60.3,0.005,402,13,13.84,8.183676583,5.996452089,5.104615385,261538.4615,589
2015,201506,DAMPIER,3582,62.63,0.006,380,20,18.23,8.183676583,5.940171253,5.435,229500,800
2015,201507,DAMPIER,3582,52.39,0.003,335,18,12.12,8.183676583,5.814130532,5.747777778,334444.4444,1131
2015,201508,DAMPIER,3582,56.19,0.005,286,10,28.43,8.183676583,5.655991811,6.533,272000,903
2015,201509,DAMPIER,3582,56.95,0.004,280,25,24.5,8.183676583,5.634789603,5.572,244800,900
2015,201510,DAMPIER,3582,53.12,0.005,278,15,15.07,8.183676583,5.627621114,5.184666667,226666.6667,721
2015,201511,DAMPIER,3582,46.86,0.006,253,23,16.129999,8.183676583,5.533389489,4.557142857,258095.2381,584
2015,201512,DAMPIER,3582,40.5,0.004,205,13,18.209999,8.183676583,5.323009979,4.046153846,300769.2308,478
2016,201601,DAMPIER,3582,41.88,0.005,196,14,20.200001,8.183676583,5.278114659,3.023571429,242857.1429,317
2016,201602,DAMPIER,3582,46.83,0.004,162,12,20.549999,8.183676583,5.087596335,2.941666667,283333.3333,329
2016,201603,DAMPIER,3582,56.2,0.006,204,17,13.95,8.183676583,5.318119994,3.006470588,220000,429
2016,201604,DAMPIER,3582,60.92,0.005,236,17,15.7,8.183676583,5.463831805,3.822962963,220000,703
2016,201605,DAMPIER,3582,55.13,0.005,261,17,14.19,8.183676583,5.564520407,4.093529412,211000,612
2016,201606,DAMPIER,3582,51.98,0.005,286,25,15.63,8.183676583,5.655991811,4.6628,210800,660
2016,201607,DAMPIER,3582,57.26,0.005,265,14,11.87,8.183676583,5.579729826,4.423571429,291428.5714,656
2016,201608,DAMPIER,3582,60.89,0.005,279,18,13.42,8.183676583,5.631211782,4.378421053,223684.2105,711
2016,201609,DAMPIER,3582,57.79,0.005,295,23,13.29,8.183676583,5.686975356,5.73,266086.9565,875
2016,201610,DAMPIER,3582,59.09,0.005,309,13,17.059999,8.183676583,5.733341277,5.598461538,261538.4615,857
